document	sentences	fast	slow	slow1	slow2	hwc	exclude_conflict	hwc1	compete2	resource1	competition2	ipcc	co_slow	co_hwc	co_resourcecompetition	doc_ipcc	1.1. fast climate onset	1.2. slow climate onset	2.1. human-wildlife conflict and fast climate onset	2.2. human-wildlife conflict and slow climate onset	3.1. human-wildlife conflict and natural resource competition	4.1. wild life conflict in articles that mention ipcc	1. climate change	2. climate change and human wild life conflict	3. resource competition and human-wild life conflict	4. wild life conflict in articles that mention ipcc
wiki2023_United_Nations_Climate_Change_Conference	[3] on 13 december, the conference president, sultan al jaber announced that a final compromise agreement between the countries involved had been reached.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"the deal commits all signatory countries to move away from carbon energy sources ""in a just, orderly and equitable manner"" to mitigate the worst effects of climate change, and reach net zero by 2050."	False	True	False	True	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[4] the global pact, referred to as the uae consensus, was the first in the history of cop summits to explicitly mention the need to shift away from every type of fossil fuels, but it still received widespread criticism due to the lack of a clear commitment to either fossil fuel phase-out or phase-down.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[4] china and india did not sign the pledge to triple their output of renewable energy and committed to coal power instead.	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[5][6]
the conference was widely criticised for its controversial president sultan al jaber, as well as its host country, the uae, which is known for its opaque environmental record and role as a major producer of fossil fuels."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[7] al jaber is the ceo of the abu dhabi national oil company (adnoc), leading to concerns over conflict of interest.	False	False	False	False	False	True	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[8] claims of greenwashing of al jaber on wikipedia, twitter and medium;[9] the legal inability to criticise emirati corporations in the uae;[10] alleged covert access to conference emails by adnoc;[11] and the invitation of syrian president bashar al-assad have all raised concerns regarding the integrity of the conference.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[12] al jaber stated before the beginning of the conference that there was ""no science"" behind fossil fuel phase-out in achieving 1.5 â°c;[13] and leaked documents appeared to show the uae planned to use the conference to strike new fossil fuel deals with other nations."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[14] al jaber claimed that his comments on the phase-out of fossil fuels were ""misinterpreted"" and denied the latter allegation, asserting that the uae does not need the cop presidency to establish business deals."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[15][16]
background
the united arab emirates is one of the most climate-vulnerable countries in the world, due to its very hot and humid climate."	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	the observed annual average mean surface air temperature in the uae has risen by 1.27 â°c (34.29 â°f) between 1990 and 2022.	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[17] without a reduction in emissions, wet-bulb temperatures in the region are expected to cross 35 â°c (95 â°f) for a prolonged period of time by the 2070s.	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[18][19][20] the red sea and persian gulf are the regions with the highest number of heat-humidity extreme events in the world, and they have exceeded safe wet-bulb temperature thresholds several times.	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[21] other impacts felt in the region are dust storms, sea level rise and drought.	True	True	True	True	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	True	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	according to the climate & clean air coalition, the uae is making efforts to reduce emissions in many ways across different sectors of its economy.	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	measures include promoting organic and hydroponic agriculture, building the etihad rail, reducing waste (especially food waste), and promoting a more circular economy.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[22]
the uae pledged to reduce carbon emissions to net zero by 2050; the first middle eastern government to make such a pledge."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[23] it was the first country in the region to sign the paris agreement on 21 september 2016.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[24][25] the country has invested $50 billion into clean energy internationally and promised an additional $50 billion by 2030.	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[26][27] in november 2022, the uae agreed to partner with the united states to invest another $100 billion in clean energy.	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[28]
history
in early 2021, the united arab emirates offered to host the 2023 event,[23] and in november 2021 the prime minister and vice president of the united arab emirates, sheikh mohammed bin rashid al-maktoum, announced that the uae would be hosting the 2023 conference."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	it was the third time it was hosted by a member of opec after qatar in 2012 and indonesia in 2007.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[29]
on 1 august 2023, the uae allowed environmental activists to ""assemble peacefully"" at the summit and vowed to provide them a space to ""make their voices heard"", despite its laws that prohibit unauthorised protests."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[30]
roughly two months before the conference, some called for an increase in international cooperation which they saw as a necessary condition for successful climate action."	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"fatih birol, head of the international energy agency, expressed hope for significant achievements in the summit but noted: ""[the] geopolitical situation, with many nations at loggerheads over the war in ukraine, and still frosty relations between the us and china, would make for a difficult summit [.]"	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	the most important challenge [to limiting temperature rises to 1.5 â°c above pre-industrial levels] is the lack of international cooperation.	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"""[31][32] the climate envoy from bangladesh described the lack of global solidarity as the main obstacle to stopping climate change, emphasising the need to create a loss and damage fund."	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[33] governments have expressed concern that similar to the russian invasion of ukraine, the 2023 israelâhamas war may adversely impact negotiations at cop28.	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[34][35][36][37]
at the end of november 2023, a pre-cop meeting of ministers was held."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	100 delegations and 70 ministers attended, more than any prior pre-cop meeting.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	the general director of the cop, majid al-suwaidi, insisted the conference would deliver in the domain of loss and damage what was agreed at the 2022 united nations climate change conference.	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[38]
before the conference, pope francis issued an apostolic exhortation called laudate deum, calling for brisk action against the climate crisis and condemning climate change denial."	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[39][40] the pope planned to attend the conference, which would have marked the first papal visit to a united nations climate change conference,[41] but had to pull out due to ill health.	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[42] charles iii, king of the united kingdom and the 14 other commonwealth realms, made the opening speech at the summit.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[43] united states president joe biden did not attend, with the israelâhamas war and internal us government spending difficulties being cited as possible causes.	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[44]
china's representative declared that china, the united states and the european union agreed to cooperate to ensure the success of the conference."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[45] at the beginning of november, insiders cautiously expressed hope for a climate agreement between china and the united states ahead of the conference, similar to the agreement of 2014 that paved the way for the paris agreement.	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	china published a plan to reduce methane emissions ahead of the conference, but there was expected contention on coal use in china.	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	china has recently characterised coal as essential for its energy security although others say energy security could be improved through upgrades to the energy grid and domestic energy market.	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[46] talks between janet yellen and he lifeng yielded a decision to enhance cooperation between the countries on climate related issues and much was expected from the meeting between joe biden and xi jinping later in the month at the 2023 apec summit.	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"according to kate logan from the asia society policy institute, cooperation between the two countries could ""set the stage for a successful outcome at the cop28""."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[47]
on 15 november, the united states and china announced an agreement based on negotiations between climate envoys john kerry and xie zhenhua to ""pursue efforts to triple renewable energy globally by 2030""."	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	the agreement included a commitment to addressing greenhouse gases, including warming agents other than carbon dioxide, but was criticised for not including a commitment from china to phase out coal-fired power plants.	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"the agreement was praised as a ""significant outcome"" by cop28 president-designate sultan al jaber."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[48]
global stocktake
see also: fossil fuel phase-out
in september 2023, in advance of the opening of cop28, the united nations published the first two-year assessment of global progress in slowing down climate change, called the ""global stocktake""."	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[49] this type of overview was established during cop26 in glasgow and is scheduled to be repeated every five years.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[50][51] the report says that a phase-out of fossil fuels is needed.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	previously the united nations avoided making similar statements.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[52] among the 17 key findings of the report are:[53]
    the paris agreement and the resulting climate action significantly helped in reducing emissions."	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	in 2011 the projected warming by 2100 was 3.7â4.8 â°c.	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	after cop27 it was 2.4â2.6 â°c and in the best case, if all pledges are accomplished, 1.7â2.1 â°c.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	as of september 2023, the world is not on track to reach the targets of the paris agreement.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	for having a more than 50% chance of limiting temperature rise to 1.5 â°c and more than 67% chance of limiting it to 2 â°c, global emissions must peak by the year 2025.	False	True	True	True	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	True	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	trillions of dollars are needed for limiting warming to 1.5 â°c.	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	financial flows need to significantly change.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	more effective international cooperation and collaboration are crucial for reaching the targets of the paris agreement.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"reception
as the host country, the uae named sultan al jaber as president-designate of cop28 in january 2023."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[54] his appointment was criticised by western lawmakers due to him being the ceo of abu dhabi national oil company (adnoc).	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[55] ninety-nine members of the european parliament and 34 us senators and representatives wrote an open letter, addressed to us president joe biden and european commission president ursula von der leyen, to call the uae to withdraw al jaber's appointment.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[56] signatory us lawmakers included bernie sanders and elizabeth warren.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	european signatories mostly hailed from the greens and left groups.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[57] the letter claimed that ""the private sector polluters were exercising undue influence over the climate summit's process."	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"""[55][56] adnoc is a uae state-owned corporation."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[58] the uae government did not respond to the open letter, neither did the us president nor the european commission president.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[59] us climate envoy john kerry expressed his support for al jaber's appointment.	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[60]
al jaber's presidency of the cop28 climate change conference contradicted his company's decision to expand fossil fuel production in adnoc drilling company."	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"the human rights organisation amnesty international raised concerns, stating, ""sultan al-jaber cannot be an honest broker for climate talks when the company he leads is planning to cause more climate damage."	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"""[61]
in january 2023, dubai cares became the education partner for cop28."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	it had already participated in cop27 held in sharm el sheikh, egypt.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[62]
in april 2023, the emirati organisers of cop28 told the speakers at the climate and health conference to not protest or ""criticise corporations"" in the emirates."	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"the warning cited the gulf state's laws, under which the panel members were warned: ""do not criticise islam, uae government, corporations or individuals""."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	climate activists raised concerns about how the uae would host cop28 without freedom of speech.	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	[10] the uae invited the president of syria, bashar al-assad, to cop28.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	according to human rights watch (hrw), the uae was assisting assad to improve his image and hrw stated it was outrageous that cop28 was being used to reintroduce assad into the international community.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[12]
in june 2023, governments gathered in bonn to prepare for cop28."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	hrw highlighted that the uae does not allow freedom of expression and had been aggressively silencing critics.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"the organisation said the governments in bonn should use the opportunity to push the emirati authorities to ease the ""grip on civic space and uphold rights""."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	it said the un and other governments must demand the uae end the persecution of rights defenders like ahmed mansoor, and it expressed concern that cop28 participants may stay silent fearing retaliation.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[63]
on 7 june 2023, a report based on technical analysis by the guardian revealed that sultan al jaber's adnoc was able to read the emails to and from the cop28 climate summit office."	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	adnoc was also consulted over how to reply to media inquiries by the consultancy firm, gulstan advisory.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	the report also stated that the cop28 office shared its email servers with adnoc.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	the cop28 office shifted to a different server after the the guardian's inquiry.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[64]
in august 2023, john kerry urged the oil and gas industry leaders to bring strategies at cop28 to cut their scope 1 (directly caused) and scope 2 (indirectly caused) emissions by 2030."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	he also asked them to initiate capital allocation commitments for renewable energy during the same timeline.	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"on the other hand, climate experts and campaigners were raising concerns that the cop28 event would become an ""oil cop"", as it was taking place in a petrostate."	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	central to this criticism was the inclusion of the oil and gas industry in a crucial role in the discussions to combat climate change.	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[65]
pope francis was scheduled to attend the cop28 for three days, but cancelled his trip after a flu-related lung inflammation."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[66]
summit proceedings
opening ceremony of the world leaders summit at cop28, 1 december 2023."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	uk foreign secretary david cameron and bill gates at cop28 in dubai on 1 december 2023.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"indian prime minister narendra modi meeting maldivian president mohamed muizzu at the conference
french president emmanuel macron at cop28 in dubai on 2 december 2023."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	egyptian president abdel fattah el-sisi and us vice president kamala harris, holding a bilateral meeting at cop28, 2 december 2023.	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"over 70,000 people were accredited for the summit, with 400,000 more granted access to the surrounding ""blue zone""."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[67][68][69]
on the starting day of the summit on 30 november 2023, a ""loss and damage"" fund to compensate poor states for the effects of climate change was agreed on."	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	the fund aims to distribute funds to poor states harmed by climate change and is to be administered by the world bank.	False	True	False	True	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	initial promises were made by the host (uae) to donate $100 million to the fund, and by the united kingdom ($75 million), united states ($24.5 million), japan ($10 million) and germany ($100 million).	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[70][71]
in his opening speech of the conference, charles iii expressed alarm at rising levels of pollution, saying that the world was ""dreadfully far off track"" its climate targets."	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
wiki2023_United_Nations_Climate_Change_Conference	"[72] the british monarch warned that ""we are carrying out a vast, frightening experiment of changing every ecological condition, all at once, at a pace that far outstrips nature's ability to cope""."	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
